time, Np, Nc, N
0.411906, 4, 1, 4
0.441978, 8, 1, 4
0.117651, 1, 1, 8
0.165507, 1, 2, 8
0.388387, 1, 4, 8
0.405353, 1, 8, 8
0.179059, 2, 1, 8
0.382306, 4, 1, 8
0.434939, 8, 1, 8
0.078893, 1, 1, 16
0.165510, 1, 2, 16
0.378805, 1, 4, 16
0.418878, 1, 8, 16
0.176138, 2, 1, 16
0.305557, 4, 1, 16
0.505070, 8, 1, 16
0.121151, 1, 1, 32
0.168028, 1, 2, 32
0.405276, 1, 4, 32
0.420623, 1, 8, 32
0.169626, 2, 1, 32
0.390551, 4, 1, 32
0.446893, 8, 1, 32
0.605582, 1, 1, 1
0.618650, 1, 2, 1
0.598818, 1, 4, 1
0.617386, 1, 8, 1
0.644879, 2, 1, 1
0.627452, 4, 1, 1
0.586632, 8, 1, 1
0.295734, 1, 1, 2
0.303598, 1, 2, 2
0.374382, 1, 4, 2
0.412601, 1, 8, 2
0.356819, 2, 1, 2
0.437137, 4, 1, 2
0.458578, 8, 1, 2
0.179452, 1, 1, 4
0.205991, 1, 2, 4
0.365830, 1, 4, 4
0.408121, 1, 8, 4
0.231361, 2, 1, 4
0.392084, 4, 1, 4
0.467098, 8, 1, 4
0.112818, 1, 1, 8
0.172360, 1, 2, 8
0.387655, 1, 4, 8
0.456445, 1, 8, 8
0.198501, 2, 1, 8
0.400388, 4, 1, 8
0.458027, 8, 1, 8
0.119437, 1, 1, 16
0.169393, 1, 2, 16
0.393450, 1, 4, 16
0.451912, 1, 8, 16
0.176195, 2, 1, 16
0.431010, 4, 1, 16
0.434513, 8, 1, 16
0.112546, 1, 1, 32
0.163525, 1, 2, 32
0.382184, 1, 4, 32
0.407923, 1, 8, 32
0.141632, 2, 1, 32
0.400569, 4, 1, 32
0.421770, 8, 1, 32
0.613199, 1, 1, 1
0.586596, 1, 2, 1
0.597096, 1, 4, 1
0.597971, 1, 8, 1
0.584207, 2, 1, 1
0.579463, 4, 1, 1
0.590298, 8, 1, 1
0.292651, 1, 1, 2
0.250074, 1, 2, 2
0.364302, 1, 4, 2
0.393131, 1, 8, 2
0.290629, 2, 1, 2
0.408851, 4, 1, 2
0.433156, 8, 1, 2
0.179406, 1, 1, 4
0.203837, 1, 2, 4
0.371290, 1, 4, 4
0.408386, 1, 8, 4
0.239358, 2, 1, 4
0.384055, 4, 1, 4
0.422897, 8, 1, 4
0.114998, 1, 1, 8
0.168471, 1, 2, 8
0.365192, 1, 4, 8
0.406021, 1, 8, 8
0.184127, 2, 1, 8
0.401558, 4, 1, 8
0.474172, 8, 1, 8
0.121972, 1, 1, 16
0.152651, 1, 2, 16
0.411214, 1, 4, 16
0.422789, 1, 8, 16
0.165190, 2, 1, 16
0.410166, 4, 1, 16
0.427037, 8, 1, 16
0.111796, 1, 1, 32
0.161370, 1, 2, 32
0.394087, 1, 4, 32
0.409185, 1, 8, 32
0.171017, 2, 1, 32
0.402276, 4, 1, 32
0.423322, 8, 1, 32
